Date,Open,High,Low,Close,Volume
2010-06-10,120.0,123.5,119.2,123.21,6061755
2010-08-03,120.0,122.87,119.68,122.42,5962926
2010-05-05,128.0,131.61,127.55,130.93,9462155
2010-03-31,136.0,136.8,134.48,135.77,4602196
2012-10-11,248.0,249.3,241.89,244.22,3447983
2014-04-28,304.0,304.39,288.0,296.58,14479803
2014-06-11,336.0,340.72,333.88,335.2,4439178
2015-02-27,384.0,385.99,379.79,380.16,2532309
2016-11-29,768.0,769.89,761.32,762.52,3272344
2016-05-23,704.25,706.0,696.42,696.75,2579171
2010-01-04,136.25,136.61,133.14,133.9,7600543
2012-09-12,256.5,257.78,253.5,255.63,2274715
2014-09-29,320.5,323.75,319.0,321.82,1929589
2015-11-12,673.0,675.64,664.22,665.6,4246218
2017-01-30,833.0,833.5,816.38,830.38,3747336
2017-05-16,961.0,970.06,960.91,966.07,3126051
2017-07-11,993.0,995.99,983.72,994.13,2982726
2015-10-06,545.5,551.5,533.33,537.48,4502815
2016-02-24,545.75,554.27,533.15,554.04,6207285
2015-12-14,641.75,658.58,635.27,657.91,4329653
2015-12-01,673.75,681.0,667.86,679.06,4739462
2010-09-14,144.5,146.7,143.83,145.75,4323591
2012-02-09,184.5,185.69,181.76,184.98,7189994
2012-03-21,192.5,194.28,191.26,191.73,4215499
2012-12-11,248.5,253.48,246.65,250.69,4185953
2014-12-26,305.0,310.78,303.81,309.09,2893801
2014-08-26,337.0,344.36,334.55,341.83,3654702
2014-02-25,353.0,361.08,351.58,358.32,3747076
2014-01-23,401.0,406.17,397.79,399.87,3026272
2016-12-09,770.0,770.25,765.34,768.66,2470923
2016-12-21,770.0,771.22,765.7,770.6,2044629
2016-10-12,834.0,837.67,830.1,834.09,2380416
2017-02-15,834.0,842.81,832.82,842.7,2968853
2015-09-03,514.5,515.84,502.57,504.72,3098941
2012-04-10,192.75,193.52,186.57,186.98,4455491
2011-09-12,208.75,216.66,208.65,216.56,5343529
2014-07-07,337.5,337.55,332.52,333.55,2130028
2013-12-16,385.5,391.7,385.0,388.97,2258884
2015-07-16,465.5,475.88,464.8,475.48,4095581
2015-11-25,675.0,679.7,671.24,675.34,2697889
2017-05-26,995.0,998.65,989.25,995.78,3469154
2014-06-03,305.75,307.92,305.07,307.19,2379273
2015-10-15,547.75,563.0,547.0,562.44,4914627
2010-12-22,185.0,185.45,184.11,184.76,2580840
2012-01-24,185.0,188.41,183.82,187.0,4681086
2011-05-03,201.0,202.59,196.69,198.45,6053289
2011-08-01,225.0,227.45,217.66,221.32,5792926
2012-05-16,225.0,228.0,222.5,224.06,5261956
2012-07-09,225.0,226.0,223.45,225.05,1921979
2013-03-05,274.0,276.68,269.99,275.59,3688583
2013-11-22,370.0,374.5,366.31,372.31,2967833
2016-05-25,708.0,710.86,705.52,708.35,3267686
2016-10-03,836.0,839.86,831.25,836.74,2769448
2017-05-22,964.0,971.38,962.9,970.67,2642217
2017-06-16,996.0,999.75,982.0,987.71,11472662
2016-01-14,580.25,602.25,569.88,593.0,7203038
2010-08-18,129.25,130.81,128.26,129.65,7902371
2012-07-27,225.25,238.34,224.5,237.32,11315524
2015-04-02,370.5,373.28,369.0,372.25,1875279
2017-02-14,837.0,838.31,831.45,836.39,2792442
2013-03-27,258.75,265.93,257.9,265.3,2874924
2015-08-28,517.5,521.5,513.04,518.01,2733815
2016-03-02,581.75,585.0,573.7,580.21,4576922
2011-01-14,185.5,188.94,184.92,188.75,3664965
2012-09-10,259.0,260.0,256.82,257.09,2567521
2013-01-25,275.0,284.72,274.4,283.99,4974945
2013-03-08,275.0,275.44,271.5,274.19,1880117
2013-06-14,275.0,277.07,273.44,273.99,2147223
2013-07-09,291.0,292.57,288.01,291.53,2775516
2014-03-21,371.0,372.84,358.4,360.62,5417935
2015-02-09,371.0,374.41,367.2,370.56,2724630
2014-01-21,403.0,407.8,401.6,407.05,3122705
2015-12-09,678.0,679.0,655.68,664.79,5158172
2016-10-05,838.0,845.67,836.12,844.36,3469055
2017-06-20,998.0,1004.88,992.02,992.59,4076828
2014-07-22,355.25,362.93,355.25,360.84,2889366
2014-10-06,323.5,324.13,319.6,322.2,2294194
2017-01-27,839.0,839.7,829.44,835.77,2998700
2017-06-12,967.0,975.95,945.0,964.91,9447233
2010-07-28,117.0,118.2,116.4,117.13,5472256
2010-05-06,130.0,132.33,120.6,128.71,10195596
2012-01-31,194.0,195.63,189.7,194.44,12772139
2011-11-15,218.0,220.33,214.26,217.83,5739106
2013-06-11,276.0,278.41,274.24,274.78,3094367
2014-10-14,308.0,312.24,305.75,308.31,3385809
2014-11-20,324.0,332.67,323.33,330.54,3436721
2014-08-28,340.0,341.79,338.8,340.02,2254725
2015-12-17,680.0,682.5,670.65,670.65,3681645
2016-07-20,744.0,746.25,740.7,745.72,2214023
2016-09-20,776.0,781.37,776.0,780.22,1937164
2017-05-31,1000.0,1000.12,982.16,994.62,3913115
2016-12-28,776.25,780.0,770.5,772.13,3301025
2014-07-28,324.25,324.82,316.5,320.41,5933999
2012-07-10,226.25,227.14,218.28,219.5,2983109
2015-12-02,681.0,684.82,674.25,676.01,4259104
2016-12-05,745.0,761.49,742.0,759.36,4314723
2016-02-03,553.5,556.0,521.9,531.07,10037222
2016-06-20,713.5,721.31,710.81,714.01,3677162
2017-01-18,809.5,811.73,804.27,807.48,2354201
2011-01-06,186.5,187.41,185.25,185.86,3179610
2011-06-27,194.5,202.58,194.03,201.25,6101849
2012-05-15,226.5,230.61,223.0,224.39,5716858
2012-11-14,226.5,227.41,222.51,222.95,3034284
2014-06-06,325.0,330.88,324.93,329.67,5246723
2015-06-22,437.0,439.24,434.18,436.29,1823572
2015-07-02,437.0,438.2,433.48,437.71,1343397
2016-02-29,554.0,564.81,552.51,552.52,4013368
2017-01-19,810.0,813.51,807.32,809.04,2540784
2017-02-17,842.0,847.27,840.73,845.07,3112275
2016-12-14,778.25,780.86,762.81,768.82,5454836
2012-09-17,261.25,261.25,257.0,258.0,2306215
2013-07-22,309.25,309.25,302.0,303.48,2522023
2014-05-28,309.5,313.82,307.42,310.16,2726803
2016-05-27,715.0,716.6,711.1,712.24,2246353
2015-09-15,523.25,527.92,517.2,522.37,2845635
2016-10-10,843.25,845.2,840.27,841.71,1827143
2016-06-23,715.5,722.12,712.5,722.08,2824974
2016-07-21,747.5,749.36,742.79,744.43,2317072
2015-08-12,523.75,527.5,513.06,525.91,4014684
2016-06-29,715.75,719.5,713.54,715.6,3070052
2010-11-11,171.0,172.05,169.42,170.37,5697867
2011-12-14,179.0,180.75,170.25,180.21,11616875
2012-03-05,179.0,181.82,178.18,180.26,4684257
2013-02-05,262.0,268.03,261.46,266.89,4013780
2015-01-15,294.0,296.0,286.82,286.95,4419196
2015-09-09,524.0,529.95,515.06,516.89,4338714
2014-01-27,390.5,394.1,380.49,386.28,3944752
2016-02-04,525.0,538.99,519.22,536.26,6176558
2015-11-10,653.0,660.0,647.26,659.68,3464933
2017-03-31,877.0,890.35,876.65,886.54,3957612
2014-11-12,310.75,312.58,308.79,311.51,2182982
2013-07-01,279.0,283.29,277.16,282.1,2890065
2013-12-17,391.0,391.36,386.5,387.65,2348377
2015-04-24,439.0,452.65,439.0,445.1,17176904
2016-01-06,622.0,639.79,620.31,632.65,5329197
2016-07-11,750.0,755.9,747.0,753.78,3195272
2016-10-28,782.0,789.49,774.61,776.32,10841073
2014-11-19,327.25,328.4,324.02,326.54,3281614
2010-11-02,163.75,165.94,163.36,164.61,4264710
2012-12-31,243.75,252.41,242.75,250.87,3419354
2013-10-08,311.5,311.54,300.27,303.23,3171592
2014-12-02,327.5,327.93,323.25,326.31,2790257
2015-11-06,655.0,662.26,652.0,659.37,4082524
2016-09-21,783.25,790.69,779.01,789.74,2718644
2015-07-27,527.75,544.95,526.6,531.41,7490960
2010-02-10,118.0,118.61,116.0,117.36,6236250
2010-06-08,122.0,122.0,115.8,118.84,11517726
2010-04-12,140.0,142.92,139.68,141.2,5446461
2012-07-26,220.0,221.45,214.95,220.01,6937337
2012-10-10,252.0,252.46,244.01,244.99,3950008
2014-11-13,312.0,317.89,311.51,316.48,3686428
2014-12-10,312.0,313.19,304.68,305.84,3245890
2014-06-18,328.0,335.75,325.0,334.38,6409334
2014-01-22,408.0,408.06,402.0,404.54,2069759
2017-03-08,848.0,853.07,846.79,850.5,2288317
2017-05-24,976.0,981.0,970.23,980.35,2463052
2015-08-14,528.25,534.11,528.25,531.52,1994799
2017-06-26,1008.5,1009.8,992.0,993.98,3386157
2017-05-04,944.75,945.0,934.22,937.53,2418381
2011-02-23,180.25,181.15,174.39,176.68,5487837
2013-04-23,264.5,269.87,264.5,268.9,2274694
2013-05-14,264.5,269.4,264.03,268.33,2700674
2016-03-23,561.0,572.48,558.1,569.63,3966131
2016-01-12,625.25,625.99,612.24,617.89,4724100
2010-06-03,126.25,129.15,124.85,128.76,5277304
2010-12-07,180.5,181.47,176.57,176.77,5079928
2016-06-15,722.0,722.56,713.35,714.26,2709447
2016-09-28,818.0,830.14,817.03,828.72,4422078
2017-05-03,946.0,946.0,935.9,941.03,3582686
2016-11-25,786.5,786.75,777.9,780.37,1837068
2010-09-10,140.75,142.6,140.04,142.44,5044666
2015-01-07,297.5,301.28,295.33,298.42,2640349
2017-03-09,851.0,856.4,850.31,853.0,2048187
2017-06-29,979.0,987.56,965.25,975.93,4302968
2017-03-28,851.75,858.46,850.1,856.0,3041633
2010-10-18,165.0,165.19,161.82,163.56,6338544
2011-04-15,181.0,181.78,179.02,180.01,4272899
2011-05-24,197.0,197.0,193.0,193.27,2972667
2011-10-13,237.0,239.68,235.23,236.15,4841536
2012-07-30,237.0,240.74,234.07,236.09,3736365
2012-12-06,253.0,255.17,251.51,253.37,3557822
2013-05-31,266.0,271.91,265.94,269.2,3374919
2013-07-03,282.0,285.4,282.0,284.03,1380205
2014-04-11,314.0,316.5,309.5,311.73,7292028
2014-02-05,346.0,349.37,337.73,346.45,4439010
2015-05-18,426.0,427.27,421.46,425.24,2390229
2015-09-29,506.0,511.48,490.5,496.07,4443224
2016-08-25,756.0,760.56,754.74,759.22,1622992
2017-06-06,1012.0,1016.5,1001.25,1003.0,3346432
2017-06-09,1012.5,1012.99,927.0,978.31,7647692
2011-02-14,189.25,191.4,188.35,190.42,4070689
2011-06-10,189.25,190.77,186.28,186.53,3763319
2016-06-24,693.0,712.53,692.2,698.96,7632511
2015-04-29,426.75,434.24,426.03,429.37,3621688
2016-08-22,757.5,759.85,752.1,759.48,1679251
2016-10-17,821.5,822.0,811.68,812.95,3361492
2011-03-11,165.5,169.2,164.12,168.07,4607082
2011-02-03,173.5,174.67,171.95,173.71,3681259
2011-06-23,189.5,194.46,188.3,194.16,4615173
2011-11-10,213.5,214.06,208.1,210.79,5044864
2013-06-04,267.0,268.88,263.02,265.7,2088972
2013-01-30,283.0,284.2,267.11,272.76,13081805
2013-07-25,299.0,304.5,296.75,303.4,5484465
2016-04-20,630.0,636.55,623.0,632.99,2601549
2016-05-10,694.0,704.55,693.5,703.07,6087032
2017-01-24,822.0,823.99,814.5,822.44,2971740
2016-06-06,726.5,731.5,724.42,726.73,2704806
2016-03-14,567.0,576.89,563.05,573.37,3451873
2016-04-04,599.0,599.5,590.55,593.19,2466710
2016-04-21,631.0,637.82,628.5,631.0,2550919
2015-11-11,663.25,675.96,663.25,673.25,5373772
2013-06-06,267.75,270.5,264.21,267.83,2476368
2017-04-17,887.5,902.38,887.5,901.99,2854673
2017-01-31,823.75,826.99,819.56,823.48,3137196
2011-02-04,174.0,177.19,173.75,175.93,4352491
2011-12-19,182.0,183.17,179.0,179.33,4535016
2012-07-25,222.0,222.5,215.91,217.05,3648127
2012-11-20,230.0,233.82,229.5,233.78,2772653
2013-01-14,268.0,274.26,267.54,272.73,4274746
2014-11-10,300.0,305.8,300.0,305.11,2809056
2015-01-22,300.0,312.25,300.0,310.32,5362640
2014-04-22,332.0,337.5,328.94,329.32,3714288
2015-05-15,428.0,430.4,424.3,426.0,4240306
2015-05-21,428.0,436.9,428.0,431.63,4121401
2015-07-28,536.0,536.39,523.12,526.03,5273092
2017-04-03,888.0,893.49,885.42,891.51,3422328
2014-04-25,316.25,316.49,302.71,303.83,16186737
2011-05-04,198.25,201.86,195.37,199.97,6551399
2016-11-18,761.0,767.74,757.64,760.16,4373408
2017-03-10,857.0,857.35,851.72,852.46,2436434
