Date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USD
2015-12-07,BTCUSD,395.5,400.0,385.01,398.62,779.95,307497.84
2016-03-16,BTCUSD,416.0,416.0,414.71,416.0,1443.06,599306.72
2016-02-21,BTCUSD,440.75,448.0,426.2,439.28,543.72,237933.71
2016-01-08,BTCUSD,457.0,464.0,448.52,456.68,889.37,405467.61
2016-05-27,BTCUSD,454.27,480.0,454.27,476.99,1669.41,788742.88
2015-12-15,BTCUSD,445.7,480.0,445.1,465.99,974.16,447962.48
2016-10-13,BTCUSD,635.33,640.0,634.64,635.45,2934.47,1866680.69
2016-10-12,BTCUSD,640.0,640.0,634.74,635.33,3698.39,2359830.15
2016-10-11,BTCUSD,617.37,640.0,617.3,640.0,4341.38,2764907.56
2017-01-23,BTCUSD,921.82,928.0,915.37,923.87,2578.0,2371902.86
2017-02-03,BTCUSD,1005.97,1024.0,995.98,1015.09,3865.48,3925432.73
2018-07-11,BTCUSD,6299.0,6400.0,6287.54,6380.0,3416.38,21678518.88
2017-10-08,BTCUSD,4425.01,4609.0,4412.42,4602.5,3207.02,14462969.41
2017-08-18,BTCUSD,4284.45,4355.0,3971.01,4102.48,13305.95,55591110.6
2018-02-18,BTCUSD,11100.0,11270.0,10150.0,10403.01,6902.75,74029051.97
2018-12-08,BTCUSD,3377.83,3459.0,3254.62,3394.5,2794.31,9395393.95
2019-01-30,BTCUSD,3395.49,3459.5,3372.28,3436.11,3163.47,10840415.6
2016-04-16,BTCUSD,429.53,432.5,429.52,429.99,493.59,212553.43
2018-02-06,BTCUSD,6892.67,7944.0,5931.34,7682.75,29967.25,202478482.7
2017-10-09,BTCUSD,4602.5,4875.0,4550.0,4751.08,7416.65,34797102.65
2017-12-23,BTCUSD,14000.0,15894.0,13701.0,15002.72,7712.57,115094888.1
2015-10-21,BTCUSD,272.1,272.75,269.5,271.64,364.6,99066.75
2016-09-15,BTCUSD,608.99,609.5,604.71,605.76,1486.35,902841.09
2017-10-24,BTCUSD,5899.6,5903.0,5464.0,5517.21,9343.12,52870248.67
2018-06-08,BTCUSD,7691.26,7695.0,7539.97,7647.08,1306.91,9968506.72
2018-08-06,BTCUSD,7032.06,7184.0,6835.0,6931.59,1789.55,12437634.3
2018-10-23,BTCUSD,6407.43,6418.0,6350.1,6395.25,3789.09,24199297.47
2018-01-03,BTCUSD,14740.09,15400.0,14583.47,15148.92,8551.32,127985170.2
2017-12-11,BTCUSD,15268.98,17488.0,15223.1,16800.19,11136.82,185348148.0
2018-10-27,BTCUSD,6401.09,6425.0,6388.06,6410.01,403.56,2585971.38
2018-05-04,BTCUSD,9727.5,9780.0,9508.0,9691.37,3898.63,37570363.35
2019-05-29,BTCUSD,8726.4,8760.0,8431.15,8659.18,1898.49,16374194.94
2018-03-29,BTCUSD,7941.87,7965.0,6903.0,7086.6,12113.05,90220518.11
2017-12-27,BTCUSD,15830.86,16500.0,14521.0,15418.95,9255.82,143145845.9
2015-11-02,BTCUSD,330.0,370.0,326.1,367.85,3028.56,1062068.18
2016-03-22,BTCUSD,411.4,418.0,411.39,416.83,922.05,383507.99
2015-11-05,BTCUSD,410.0,450.0,369.73,379.42,1655.25,671522.45
2017-05-01,BTCUSD,1362.63,1480.0,1352.8,1440.82,19714.91,28391677.51
2017-07-31,BTCUSD,2749.99,2960.0,2703.15,2871.27,7849.75,21992989.58
2017-06-11,BTCUSD,2903.77,2960.0,2859.76,2960.0,4092.99,11917922.32
2019-01-31,BTCUSD,3436.11,3472.0,3394.43,3412.1,2776.44,9495071.14
2017-05-07,BTCUSD,1580.99,1609.0,1566.14,1602.17,2752.06,4365686.53
2017-09-06,BTCUSD,4393.0,4645.0,4380.78,4609.17,9981.06,45222315.64
2018-01-17,BTCUSD,11399.01,11850.0,9125.0,11240.19,24459.65,258538366.3
