date,channelGrouping,medium,source,deviceCategory,sessions,users
2019-10-15,Paid Search,cpc,google,mobile,62,57
2019-10-16,Paid Search,cpc,google,mobile,55,49
2019-10-17,Paid Search,cpc,google,mobile,39,34
2019-10-19,Paid Search,cpc,google,mobile,54,51
2019-10-20,Paid Search,cpc,google,mobile,37,33
2019-10-22,Paid Search,cpc,google,mobile,70,69
2019-10-23,Paid Search,cpc,google,mobile,39,38
2019-10-24,Paid Search,cpc,google,mobile,32,32
2019-10-26,Paid Search,cpc,google,mobile,45,44
2019-10-27,Paid Search,cpc,google,mobile,52,48
2019-10-02,Direct,(none),(direct),mobile,28,24
2019-10-15,Direct,(none),(direct),mobile,34,29
2019-10-24,Paid Search,cpc,facebook,mobile,181,177
2019-10-25,Paid Search,cpc,facebook,mobile,196,189
2019-10-26,Paid Search,cpc,facebook,mobile,188,185
2019-10-27,Paid Search,cpc,facebook,mobile,305,299
2019-10-28,Paid Search,cpc,facebook,mobile,248,245
2019-10-29,Paid Search,cpc,facebook,mobile,122,119
2019-10-15,Paid Search,cpc,pinterest,mobile,36,33
2019-10-17,Paid Search,cpc,pinterest,mobile,49,47
2019-10-18,Paid Search,cpc,pinterest,mobile,36,36
2019-10-17,Social,referral,m.facebook.com,mobile,80,78
2019-10-18,Social,referral,m.facebook.com,mobile,48,47
2019-10-24,Social,referral,m.facebook.com,mobile,45,44
2019-09-30,Social,referral,l.instagram.com,mobile,56,56
2019-10-16,Social,referral,l.instagram.com,mobile,23,23
2019-10-24,Social,referral,l.instagram.com,mobile,32,30
2019-10-28,Social,referral,l.instagram.com,mobile,41,41
2019-10-06,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,51,47
2019-10-07,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,55,44
2019-09-25,Organic Search,organic,bing,desktop,1,1
2019-10-01,Organic Search,organic,bing,desktop,1,1
2019-10-08,Organic Search,organic,bing,desktop,1,1
2019-10-09,Organic Search,organic,bing,desktop,1,1
2019-10-13,Organic Search,organic,bing,desktop,1,1
2019-10-14,Organic Search,organic,bing,mobile,1,1
2019-10-20,Organic Search,organic,bing,mobile,1,1
2019-10-22,Organic Search,organic,bing,mobile,1,1
2019-10-23,Organic Search,organic,bing,desktop,1,1
2019-10-25,Organic Search,organic,bing,desktop,1,1
2019-10-26,Organic Search,organic,bing,mobile,1,1
2019-10-28,Organic Search,organic,bing,mobile,1,1
2019-10-29,Organic Search,organic,bing,desktop,1,1
2019-10-04,Organic Search,organic,yahoo,mobile,1,1
2019-10-05,Organic Search,organic,yahoo,mobile,1,1
2019-10-13,Organic Search,organic,yahoo,mobile,1,1
2019-10-17,Organic Search,organic,yahoo,mobile,1,1
2019-10-18,Organic Search,organic,yahoo,mobile,1,1
