Country,CountryID,ContinentID,Adolescent_fertility_rate,Adult_literacy_rate,Gross_income_per_capita,Net_primary_school_enrolment_ratio_female,Net_primary_school_enrolment_ratio_male,Population_in_thousands,Population_annual_growth_rate,Population_in_urban_areas,Population_living_below_poverty_line,Continent
Uganda,189,3,159,68.1,880,,,29899,3.2,13,,Africa
Bosnia and Herzegovi,23,2,25,96.7,6780,,,3926,0.3,46,,Europe
Moco,119,2,,,,,,33,0.3,100,,Europe
Montenegro,121,2,16,,8930,,,601,-1.1,61,,Europe
San Marino,156,2,,,,,,31,1.4,93,,Europe
Serbia,160,2,24,,9320,,,9851,-0.1,52,,Europe
Turkmenistan,187,2,29,98.8,3990,,,4899,1.4,47,,Europe
French Polynesia,63,6,,,,,,,,,,Oceania
Micronesia (Federated States of),117,6,44,,6070,,,111,0.5,22,,Oceania
uru,126,6,,,,,,10,0.2,100,,Oceania
New Caledonia,130,6,,,,,,,,,,Oceania
Papua New Guinea,141,6,77,57.3,1630,,,6202,2.2,13,,Oceania
Taiwan,177,6,,,,,,,,,,Oceania
Tuvalu,188,6,,,,,,10,0.4,46,,Oceania
Afghanistan,1,1,151,28,,,,26088,4,23,,Middle East
West Bank and Gaza,199,1,,,,,,,,,,Middle East
Antigua and Barbuda,6,4,,,15130,,,84,1.3,37,,North America
Bermuda,20,4,,,,,,,,,,North America
Netherlands Antilles,129,5,,,,,,,,,,South America
Puerto Rico,147,5,,,,,,,,,,South America
Somalia,167,3,35,,,6,11,8445,3,36,,Africa
Haiti,75,5,69,,1070,22,21,9446,1.6,39,53.9,South America
Djibouti,50,1,27,,2180,34,42,819,1.8,87,,Middle East
Sierra Leone,162,3,178,34.8,610,36,50,5743,2.8,41,,Africa
Guinea-Bissau,73,3,,,460,37,53,1646,3,30,,Africa
Niger,133,3,199,28.7,630,37,50,13737,3.5,17,,Africa
Sudan,171,3,51,60.9,1780,37,45,37707,2.2,42,,Africa
Central African Republic,34,3,157,48.6,690,38,53,4265,1.7,38,,Africa
Liberia,101,3,,60,260,39,40,3579,3.9,59,,Africa
Burki Faso,28,3,131,23.6,1130,42,52,14359,3,19,27.2,Africa
Eritrea,57,3,85,,680,43,50,4692,3.6,20,,Africa
Angola,5,3,146,67.4,3890,49,51,16557,2.8,54,,Africa
Chad,35,3,193,25.7,1170,49,71,10468,3.1,26,,Africa
Cote d'Ivoire,44,3,132,48.7,1580,49,61,18914,1.8,45,14.8,Africa
Comoros,39,3,66,,1140,50,60,818,2.5,38,,Africa
Mali,111,3,192,24,1000,54,67,11968,3,31,36.1,Africa
Pakistan,138,7,24,49.9,2410,57,73,160943,1.8,35,17,Asia
Nigeria,134,3,126,69,1410,59,68,144720,2.4,49,70.8,Africa
Solomon Islands,166,6,72,,1850,61,62,484,2.4,17,,Oceania
Gambia,65,3,167,,1110,64,59,1663,2.8,55,,Africa
Cameroon,31,3,141,67.9,2060,65,74,18175,2.1,56,17.1,Africa
Yemen,200,1,83,54.1,2090,65,85,21732,3,28,,Middle East
Guinea,72,3,153,29.5,1130,66,77,9181,2,33,,Africa
Marshall Islands,113,6,,,8040,66,67,58,2.2,66,,Oceania
Timor-Leste,181,6,49,,5100,67,70,1114,4.3,27,,Oceania
Ethiopia,59,3,109,35.9,630,68,74,81021,2.5,16,23,Africa
Senegal,159,3,100,39.3,1560,70,71,12072,2.5,42,17,Africa
Gha,68,3,74,57.9,1240,71,73,23008,2.1,49,,Africa
Benin,19,3,108,34.7,1250,73,87,8760,3.1,40,30.9,Africa
Burundi,29,3,30,59.3,320,73,76,8173,3.9,10,,Africa
Mozambique,123,3,185,38.7,660,73,79,20971,2.1,35,36.2,Africa
Nepal,127,7,106,48.6,1010,74,84,27641,2,16,24.1,Asia
Lesotho,100,3,98,82.2,1810,74,71,1995,0.7,19,,Africa
Togo,182,3,89,53.2,770,75,86,6410,2.7,41,,Africa
Cook Islands,42,6,,,,75,73,14,-2.5,64,,Oceania
Oman,137,1,11,81.4,19740,75,73,2546,1.6,71,,Middle East
Kenya,91,3,116,73.6,1470,76,75,36553,2.6,21,,Africa
Singapore,163,6,7,92.5,43300,77,77,4382,1.3,100,,Oceania
Uzbekistan,195,2,40,,2190,78,79,26981,1.4,37,2,Europe
Dominican Republic,52,5,118,87,5550,78,76,9615,1.5,68,2.8,South America
Saint Kitts and Nevis,152,5,,,12440,78,64,50,1.3,33,,South America
Bhutan,21,7,62,,4000,79,79,649,1.8,11,,Asia
mibia,125,3,88,85,4770,79,74,2047,1.3,36,,Africa
Swaziland,173,3,73,79.6,4700,79,78,1134,0.8,24,,Africa
Dominica,51,5,,,7870,79,75,68,-0.3,71,,South America
Rwanda,151,3,44,64.9,730,81,76,9464,2.5,20,60.3,Africa
Lao People's Democratic Republic,97,6,110,68.7,1740,81,86,5759,1.7,21,27,Oceania
Lebanon,99,3,18,,9600,82,82,4055,1.1,87,,Africa
Mauritania,114,3,88,51.2,1970,82,78,3044,2.7,41,25.9,Africa
Iraq,83,1,17,74.1,,82,95,28506,1.8,67,,Middle East
