AlbumID_Rank,Artist,Album,Release_Year,Spotify_Album,Description,wiki,Duration,Minutes,Seconds,Total_Seconds,Label,Sub_Metal_Genre,Rating,Rolling_Stone_Rating
27,System of a Down,Toxicity,2001,6jWde94ln40epKIQCd8XUh,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/system-of-a-down-toxicity-2001-w487130,https://en.wikipedia.org/wiki/Toxicity_(album),41:48:00,41,48,2508,Columbia,Nu Metal,3.5,Rolling Stone
50,Slipknot,Iowa,2001,6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slipknot-iowa-2001-w487125,https://en.wikipedia.org/wiki/Iowa_(album),66:25:00,66,25,3985,Roadrunner,Nu Metal,4,Rolling Stone
30,Korn,Korn,1994,7D3XFJlfZIkmGWqZXm2X8z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/korn-1994-w487014,https://en.wikipedia.org/wiki/Korn_(album),65:47:00,65,47,3947,Immortal,Nu Metal,4.5,AllMusic
91,Naked City,Torture Garden,1990,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/naked-city-torture-garden-1990-w487068,https://en.wikipedia.org/wiki/Torture_Garden_(album),22:28:00,22,0,1320,Toy's Factory,Grindcore,4,AllMusic
59,Napalm Death,From Enslavement to Obliteration,1988,4veFj7IvUM9q3Z0S0A4y0F,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/napalm-death-from-enslavement-to-obliteration-1988-w487069,https://en.wikipedia.org/wiki/From_Enslavement_to_Obliteration,29:45:00,29,45,1785,Earache,Grindcore,4.5,AllMusic
88,Pig Destroyer,Terrifyer,2004,6x95DGZhx18gJuxRlbwZso,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/pig-destroyer-terrifyer-2004-w487103,https://en.wikipedia.org/wiki/Terrifyer,32:19:00,32,19,1939,Relapse,Grindcore,4.5,AllMusic
36,Van Halen,Women and Children First,1980,7fRy246Xzz3gez6stjTgKk,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/van-halen-women-and-children-first-1980-w487133,https://en.wikipedia.org/wiki/Women_and_Children_First,33:31:00,33,31,2011,Warner Bros,Hard Rock,2.5,Rolling Stone
61,Converge,Jane Doe,2001,2gtM4m6sglJDrX3toJWZO6,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/converge-jane-doe-2001-w486965,https://en.wikipedia.org/wiki/Jane_Doe_(album),45:22:00,45,22,2722,Equal Vision,Metalcore,4.5,AllMusic
90,Body Count,Body Count,1992,2J5Lf1s0Q42e31xjSwVd8J,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/body-count-1992-w486960,https://en.wikipedia.org/wiki/Body_Count_(album),53:11:00,53,11,3191,Sire,Rap Metal,3,Rolling Stone
44,Motley Crue,Shout at the Devil,1983,2BCI4Oj05SiqooWWBqUqjT,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-shout-at-the-devil-1983-w486978,https://en.wikipedia.org/wiki/Shout_at_the_Devil,35:02:00,35,2,2102,Elektra,Hair Metal,2,Rolling Stone
22,Motley Crue,Too Fast for Love,1981,6fhebW3x8DvrwbdL2aXCbo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-too-fast-for-love-1981-w487063,https://en.wikipedia.org/wiki/Too_Fast_for_Love,37:40:00,37,40,2260,Leathur,Hair Metal,2.5,Rolling Stone
52,Def Leppard,Pyromania,1983,5ab6RIlAGwbVAacV1JIr2d?si=PnBNFPKHTUWe8NGqlfe67g,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/def-leppard-pyromania-1983-w486971,https://en.wikipedia.org/wiki/Pyromania_(album),44:57:00,44,57,2697,Mercury,Hair Metal,4,Rolling Stone
76,Twisted Sister,Stay Hungry,1984,0dzqapIToiOhULGvzDKpXm,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/twisted-sister-stay-hungry-1984-w486970,https://en.wikipedia.org/wiki/Stay_Hungry_(album),36:56:00,36,56,2216,Atlantic,Hair Metal,4.5,AllMusic
94,Deafheaven,Sunbather,2013,6zEacAdWHLaclKB2C39mag,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/deafheaven-sunbather-2013-w486968,https://en.wikipedia.org/wiki/Sunbather_(album),59:58:00,59,58,3598,Deathwish,Post Metal,3,Rolling Stone
49,Neurosis,Through Silver in Blood,1996,6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/neurosis-through-silver-in-blood-1996-w487071,https://en.wikipedia.org/wiki/Through_Silver_in_Blood,70:37:00,70,37,4237,Relapse,Post Metal,5,AllMusic
72,Isis,Oceanic,2002,7Enr3hOfLpLa8PdcBtoXmW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/isis-oceanic-2002-w487006,https://en.wikipedia.org/wiki/Oceanic_(Isis_album),63:18:00,63,18,3798,Ipecac,Post Metal,5,AllMusic
67,Queensryche,Operation: Mindcrime,1988,16VzTNaeadMjxI03Xi9s6n,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/queensrche-operation-mindcrime-1988-w487108,https://en.wikipedia.org/wiki/Operation:_Mindcrime,59:30:00,59,30,3570,EMI,Prog Metal,3,Rolling Stone
97,Gojira,From Mars to Sirius,2005,6zEacAdWHLaclKB2C39mag,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/gojira-from-mars-to-sirius-2005-w486992,https://en.wikipedia.org/wiki/From_Mars_to_Sirius,66:58:00,66,58,4018,Listenable,Prog Metal,4,AllMusic
18,Tool,Aenima,1996,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/tool-nima-1996-w487131,https://en.wikipedia.org/wiki/%C3%86nima,77:18:00,77,18,4638,Zoo Entertainment,Prog Metal,4.5,Rolling Stone
56,The Dillinger Escape Plan,Calculating Infinity,1999,0lUmhvC9JtPpU8LEYHVdyS,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/the-dillinger-escape-plan-calculating-infinity-1999-w486974,https://en.wikipedia.org/wiki/Calculating_Infinity,37:31:00,37,31,2251,Relapse,Prog Metal,4.5,AllMusic
70,Death,Human,1991,6AvvqTkgRqq3L4bD9qYfjD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/death-human-1991-w486969,https://en.wikipedia.org/wiki/Human_(Death_album),38:29:00,38,29,2309,Relapse,Prog Metal,4.5,AllMusic
77,Meshuggah,Destroy Erase Improve,1995,3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/meshuggah-destroy-erase-improve-1995-w487046,https://en.wikipedia.org/wiki/Destroy_Erase_Improve,34:15:00,34,15,2055,Nuclear Blast,Prog Metal,4.5,AllMusic
95,Dream Theater,Images and Words,1992,6zEacAdWHLaclKB2C39mag,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/dream-theater-images-and-words-1991-w486977,https://en.wikipedia.org/wiki/Images_and_Words,57:03:00,57,3,3423,Atco,Prog Metal,4.5,AllMusic
46,Mastodon,Leviathan,2004,6khFoLWnJZDQvZ7Pijym3b,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mastodon-leviathan-2004-w487029,https://en.wikipedia.org/wiki/Leviathan_(album),46:47:00,46,47,2807,Relapse,Prog Metal,5,AllMusic
55,Opeth,Blackwater Park,2001,3CCkWrqhWcKU7qXK3ooEEo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/opeth-blackwater-park-2001-w487074,https://en.wikipedia.org/wiki/Blackwater_Park,67:01:00,67,1,4021,Music for Nations,Prog Metal,5,AllMusic
17,Mercyful Fate,Melissa,1983,6Ig4BhZgma0ubEVgNaMpeo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mercyful-fate-melissa-1983-w487043,https://en.wikipedia.org/wiki/Melissa_(Mercyful_Fate_album),40:13:00,40,13,2413,Megaforce,Black Metal,4,AllMusic
40,Mayhem,De Mysteriis Dom Sathanas,1994,4O9K2VUsGve0wJl49AG0Mu,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mayhem-de-mysteriis-dom-sathanas-1994-w487030,https://en.wikipedia.org/wiki/De_Mysteriis_Dom_Sathanas,46:01:00,46,1,2761,Deathlike Silence,Black Metal,4,AllMusic
28,Celtic Frost,Morbid Tales,1984,2G2c7jjmwDaJVLfJc47859,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/celtic-frost-morbid-tales-1984-w486963,https://en.wikipedia.org/wiki/Morbid_Tales,29:21:00,29,21,1761,Metal Blade,Black Metal,4.5,AllMusic
57,Emperor,Anthems to the Welkin at Dusk,1997,0PIidVsFr9Oji1Y79jTV9M,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/emperor-anthems-to-the-welkin-at-dusk-1997-w486979,https://en.wikipedia.org/wiki/Anthems_to_the_Welkin_at_Dusk,43:57:00,43,57,2637,Candlelight,Black Metal,4.5,AllMusic
81,Bathory,Under the Sign of the Black Mark,1987,450O7sJi2GTzmLqHS03T88,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/bathory-under-the-sign-of-the-black-mark-1987-w486950,https://en.wikipedia.org/wiki/Under_the_Sign_of_the_Black_Mark,35:48:00,35,48,2148,New Renaissance,Black Metal,4.5,AllMusic
85,Darkthrone,Transilvanian Hunger,1984,2Fez8YmdKDD9732QTBeJzt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/darkthrone-transilvanian-hunger-1991-w486967,https://en.wikipedia.org/wiki/Transilvanian_Hunger,39:03:00,39,3,2343,Peaceville,Black Metal,4.5,AllMusic
51,Carcass,Heartwork,1993,7D1UMHzEIHNhwa0gyqmya9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/carcass-heartwork-1993-w486961,https://en.wikipedia.org/wiki/Heartwork,41:52:00,41,52,2512,Earache,Death Metal,4.5,AllMusic
75,Morbid Angel,Covenant,1993,3dl4rU3ZBtiquwHEenf4qt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/morbid-angel-covenant-1993-w487062,https://en.wikipedia.org/wiki/Covenant_(Morbid_Angel_album),41:10:00,41,10,2470,Giant,Death Metal,4.5,AllMusic
82,Entombed,Left Hand Path,1990,5nrZejD99ZmAXrmrouIJcU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/entombed-left-hand-path-1990-w486980,https://en.wikipedia.org/wiki/Left_Hand_Path_(album),39:49:00,39,49,2389,Combat,Death Metal,4.5,AllMusic
79,At the Gates,Slaughter of the Soul,1995,1m0px7K5tJndjxU6RIuL8U,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/at-the-gates-slaughter-of-the-soul-1995-w486947,https://en.wikipedia.org/wiki/Slaughter_of_the_Soul,52:06:00,52,6,3126,Earache,Death Metal,5,AllMusic
98,Sunn 0))),Monoliths & Dimensions,2009,5g5JAnBYxmaTMVvh6RnA1c,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sunn-o-monoliths-and-dimensions-2009-w487129,https://en.wikipedia.org/wiki/Monoliths_%26_Dimensions,53:39:00,53,39,3219,Southern Lord,Drone Metal,4.5,AllMusic
14,Black Sabbath,Vol. 4,1972,7hDURvn9LKQS3vBbnI4BOI,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-vol-4-1972-w486958,https://en.wikipedia.org/wiki/Vol._4_(Black_Sabbath_album),42:15:00,42,15,2535,Vertigo,Heavy Metal,3,Rolling Stone
15,Ozzy Osbourne,Diary of a Madman,1981,4xiRrFE0Gq4Si9mAfPB3hZ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ozzy-osbourne-diary-of-a-madman-1981-w487080,https://en.wikipedia.org/wiki/Diary_of_a_Madman_(album),43:24:00,43,24,2604,Jet,Heavy Metal,3,Rolling Stone
73,Scorpions,Blackout,1982,6x75r5C54z1quun86Bbqbr,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/scorpions-blackout-1982-w487116,https://en.wikipedia.org/wiki/Blackout_(Scorpions_album),36:41:00,36,41,2201,Mercury,Heavy Metal,3,Rolling Stone
100,Avenged Sevenfold,City of Evil,2005,55tK4Ab7XHTOKkw0xDz3AA,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/avenged-sevenfold-city-of-evil-2005-w486948,https://en.wikipedia.org/wiki/City_of_Evil,72:54:00,72,54,4374,Warner Bros,Heavy Metal,3,Rolling Stone
23,Danzig,Danzig,1988,3elIDlrTtrgKfbxYVgp3uW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/danzig-1988-w486966,https://en.wikipedia.org/wiki/Danzig_(album),40:57:00,40,57,2457,Def American,Heavy Metal,3.5,AllMusic
9,Ozzy Osbourne,Blizzard of Ozz,1980,6aGfK3YpRxZ1rJfaNRckLH,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ozzy-osbourne-blizzard-of-ozz-1980-w487078,https://en.wikipedia.org/wiki/Blizzard_of_Ozz,39:31:00,39,31,2371,Jet,Heavy Metal,4,Rolling Stone
32,Black Sabbath,Sabotage,1975,0Plh7fxBmx1Z2HrnVOoGkw,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-sabotage-1975-w486955,https://en.wikipedia.org/wiki/Sabotage_(Black_Sabbath_album),43:38:00,43,38,2618,Vertigo,Heavy Metal,4,Rolling Stone
34,Black Sabbath,Master of Reality,1971,7pGb2cOGVz6vLyaZaKOQ7D,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-master-of-reality-1971-w487128,https://en.wikipedia.org/wiki/Master_of_Reality,34:24:00,34,24,2064,Vertigo,Heavy Metal,4,Rolling Stone
37,Black Sabbath,Heaven and Hell,1980,1Wk2g7TV0adbUZ53ruvIdL,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-heaven-and-hell-1980-w486952,https://en.wikipedia.org/wiki/Heaven_and_Hell_(Black_Sabbath_album),40:04:00,40,4,2404,Vertigo,Heavy Metal,4,Rolling Stone
48,Rainbow,Rising,1976,3uIT4I4Dy7Pq1j0aSjzPW9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rainbow-rising-1976-w487115,https://en.wikipedia.org/wiki/Rising_(Rainbow_album),33:22:00,33,22,2002,Oyster,Heavy Metal,4,AllMusic
16,Dio,Holy Diver,1983,2ivNJLSx8Rbvnsvcn01Yt3,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/dio-holy-diver-1983-w486976,https://en.wikipedia.org/wiki/Holy_Diver,41:44:00,41,44,2504,Warner Bros,Heavy Metal,4.5,AllMusic
